VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w
0, 15849,  2.63845, -46.31227, -0.76377,  0.00,  1.00,  0.00,  1.00,  0.00,  1.00,  0.00,  1.00,  0.51424,  0.12725,  0.92823,  0.91189,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1, 15850,  2.5728, -46.31227, -0.99377,  0.00,  1.00,  0.00,  1.00,  0.00,  1.00,  0.00,  1.00,  0.51424,  0.12609,  0.92827,  0.91189,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2, 15851,  3.77319, -46.31227, -0.59001,  0.00,  1.00,  0.00,  1.00,  0.00,  1.00,  0.00,  1.00,  0.51424,  0.12894,  0.92796,  0.91189,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3, 15852,  2.63845, -46.31227,  0.76377,  0.00,  1.00,  0.00,  1.00,  0.00,  1.00,  0.00,  1.00,  0.51424,  0.14577,  0.92823,  0.91189,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
4, 15853,  3.77319, -46.31227,  0.59001,  0.00,  1.00,  0.00,  1.00,  0.00,  1.00,  0.00,  1.00,  0.51424,  0.14408,  0.92796,  0.91189,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
5, 15854,  2.5728, -46.31227,  0.99377,  0.00,  1.00,  0.00,  1.00,  0.00,  1.00,  0.00,  1.00,  0.51424,  0.14693,  0.92827,  0.91189,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
6, 15855,  0.00, -43.59713,  2.41027,  0.00, -0.40945,  0.91339,  1.00,  0.40157,  0.27559,  0.87402,  1.00,  0.37667,  0.01934,  0.92997,  0.91188,  0.99608,  1.00,  1.00,  0.49804, 0, 3, 0, 0, 0, 0, 0, 0,  0.91373,  0.08627,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
7, 15856,  0.91773, -42.71852,  1.70998,  0.46457, -0.67717,  0.56693,  1.00,  0.40157,  0.27559,  0.87402,  1.00,  0.37664,  0.04872,  0.92952,  0.91188,  1.00,  1.00,  1.00,  0.49804, 0, 3, 5, 4, 0, 0, 0, 0,  0.66667,  0.1451,  0.11373,  0.07451,  0.00,  0.00,  0.00,  0.00
8, 15857,  2.35687, -44.32371,  1.54699, -0.37008, -0.24409,  0.89764,  1.00,  0.40157,  0.27559,  0.87402,  1.00,  0.42234,  0.04844,  0.9282,  0.91189,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
9, 15858,  0.00, -40.45039,  3.33658,  0.00, -0.0315,  1.00,  1.00,  0.61417, -0.29134,  0.73228, -1.00,  0.33726,  0.0022,  0.43793,  0.59659,  0.99608,  1.00,  1.00,  0.49804, 3, 5, 4, 0, 0, 0, 0, 0,  0.64706,  0.21176,  0.14118,  0.00,  0.00,  0.00,  0.00,  0.00
