VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w
0, 0, -6.45634,  5.03013,  179.13734, -0.66929,  0.66929, -0.32283,  1.00, -0.71654,  0.66142, -0.22047,  1.00,  0.60608,  0.17924,  0.05619,  0.28996,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
1, 1, -7.547,  3.73344,  179.14079, -0.85039,  0.48031, -0.22047,  1.00, -0.85039,  0.48819, -0.18898,  1.00,  0.62173,  0.19133,  0.03248,  0.35433,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
2, 2, -7.48719,  3.16288,  177.95697, -0.81102,  0.29921, -0.50394,  1.00, -0.86614,  0.31496, -0.3937,  1.00,  0.62175,  0.204,  0.05098,  0.41813,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
3, 3, -6.25837,  5.17745,  180.5296, -0.49606,  0.77953,  0.37795,  1.00, -0.50394,  0.37008,  0.77953,  1.00,  0.61063,  0.16522,  0.18844,  0.33949,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
4, 4, -6.9833,  4.78808,  180.37518, -0.75591,  0.65354,  0.10236,  1.00, -0.53543,  0.34646,  0.77165,  1.00,  0.62099,  0.17214,  0.16655,  0.36781,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
5, 5, -5.97133,  5.84542,  180.48836, -0.65354,  0.56693,  0.50394,  1.00, -0.48819,  0.3937,  0.77953,  1.00,  0.60608,  0.16522,  0.20576,  0.31572,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
6, 6,  7.48719,  3.16288,  177.95697,  0.81102,  0.29921, -0.50394,  1.00,  0.86614,  0.31496, -0.3937, -1.00,  0.62175,  0.204,  0.05098,  0.41813,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
7, 7,  7.547,  3.73344,  179.14079,  0.85039,  0.48031, -0.22047,  1.00,  0.85039,  0.48819, -0.18898, -1.00,  0.62173,  0.19133,  0.03248,  0.35433,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
8, 8,  6.45634,  5.03013,  179.13734,  0.66929,  0.66929, -0.32283,  1.00,  0.71654,  0.66142, -0.22047, -1.00,  0.60608,  0.17924,  0.05619,  0.28996,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
9, 9,  5.97133,  5.84542,  180.48836,  0.65354,  0.56693,  0.50394,  1.00,  0.48819,  0.3937,  0.77953, -1.00,  0.60608,  0.16522,  0.20576,  0.31572,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
10, 10,  6.9833,  4.78808,  180.37518,  0.75591,  0.65354,  0.10236,  1.00,  0.53543,  0.34646,  0.77165, -1.00,  0.62099,  0.17214,  0.16655,  0.36781,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
11, 11,  6.25837,  5.17745,  180.5296,  0.49606,  0.77953,  0.37795,  1.00,  0.50394,  0.37008,  0.77953, -1.00,  0.61063,  0.16522,  0.18844,  0.33949,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
12, 12, -8.08499, -2.08659,  172.65997, -0.62992,  0.76378, -0.15748,  1.00, -0.83465,  0.41732, -0.3622,  1.00,  0.65197,  0.02868,  0.16329,  0.28083,  0.49804,  1.00,  1.00,  0.49804, 0, 4, 0, 0,  0.90196,  0.09804,  0.00,  0.00
13, 13, -8.62398, -3.36975,  172.75955, -0.92126,  0.38583, -0.07874,  1.00, -0.94488,  0.14173, -0.29921,  1.00,  0.65268,  0.02868,  0.19303,  0.29457,  0.49804,  1.00,  1.00,  0.49804, 0, 4, 0, 0,  0.90196,  0.09804,  0.00,  0.00
14, 14, -8.72059, -3.84097,  170.60316, -0.94488,  0.33071,  0.0315,  1.00, -0.95276,  0.07874, -0.29921,  1.00,  0.65261,  0.02995,  0.18923,  0.32966,  0.49804,  1.00,  1.00,  0.49804, 0, 4, 0, 0,  0.70196,  0.29804,  0.00,  0.00
15, 15,  8.72059, -3.84097,  170.60316,  0.94488,  0.33071,  0.0315,  1.00,  0.95276,  0.07874, -0.29921, -1.00,  0.65261,  0.02995,  0.18923,  0.32966,  0.49804,  1.00,  1.00,  0.49804, 0, 6, 0, 0,  0.70196,  0.29804,  0.00,  0.00
16, 16,  8.62398, -3.36975,  172.75955,  0.92126,  0.38583, -0.07874,  1.00,  0.94488,  0.14173, -0.29921, -1.00,  0.65268,  0.02868,  0.19303,  0.29457,  0.49804,  1.00,  1.00,  0.49804, 0, 6, 0, 0,  0.90196,  0.09804,  0.00,  0.00
17, 17,  8.08499, -2.08659,  172.65997,  0.62992,  0.76378, -0.15748,  1.00,  0.83465,  0.41732, -0.3622, -1.00,  0.65197,  0.02868,  0.16329,  0.28083,  0.49804,  1.00,  1.00,  0.49804, 0, 6, 0, 0,  0.90196,  0.09804,  0.00,  0.00
18, 18, -0.18556,  9.14338,  183.31827, -0.15748,  0.92913, -0.33071,  1.00,  0.24409,  0.96063, -0.11024,  1.00,  0.65043,  0.21538,  0.15347,  0.42831,  1.00,  1.00,  1.00,  0.49804, 0, 2, 17, 0,  0.84314,  0.11765,  0.03922,  0.00
