VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w
0, 5583,  0.30907,  135.19641, -0.557, -0.74016,  0.66142, -0.07874,  1.00,  0.19685,  0.10236, -0.97638,  1.00,  0.91159,  0.1079,  1.00,  1.00,  1.00,  1.00,  1.00,  0.49804, 10, 8, 0, 0,  0.76078,  0.23922,  0.00,  0.00
1, 5584,  2.01515,  136.46672, -0.08462, -0.96063,  0.20472, -0.17323,  1.00,  0.19685,  0.10236, -0.97638,  1.00,  0.94265,  0.08526,  1.00,  1.00,  1.00,  1.00,  1.00,  0.49804, 10, 14, 15, 0,  0.48627,  0.32549,  0.18824,  0.00
2, 5585, -0.01285,  134.95671, -0.64614, -0.90551, -0.35433, -0.22047,  1.00,  0.19685,  0.10236, -0.97638,  1.00,  0.90573,  0.11218,  1.00,  1.00,  1.00,  1.00,  1.00,  0.49804, 10, 8, 0, 0,  0.74118,  0.25882,  0.00,  0.00
3, 5586, -1.78352,  128.74039,  0.64614,  0.09449,  0.00787,  0.99213,  1.00, -0.24409,  0.03937,  0.9685, -1.00,  0.86991,  0.19362,  1.00,  1.00,  1.00,  1.00,  1.00,  0.49804, 8, 10, 9, 0,  0.52157,  0.47059,  0.00784,  0.00
4, 5587, -4.21819,  129.86322,  8.00734E-15, -0.70079,  0.07087, -0.70866,  1.00, -0.24409,  0.03937,  0.9685, -1.00,  0.871,  0.2183,  1.00,  1.00,  1.00,  1.00,  1.00,  0.49804, 11, 13, 10, 0,  0.48235,  0.27059,  0.24706,  0.00
5, 5588, -1.66725,  129.86409,  0.64614,  0.10236, -0.01575,  0.99213,  1.00, -0.24409,  0.03937,  0.9685,  1.00,  0.8758,  0.19203,  1.00,  1.00,  1.00,  1.00,  1.00,  0.49804, 10, 8, 0, 0,  0.52157,  0.47843,  0.00,  0.00
6, 5587, -4.21819,  129.86322,  8.00734E-15, -0.70079,  0.07087, -0.70866,  1.00, -0.24409,  0.03937,  0.9685, -1.00,  0.871,  0.2183,  1.00,  1.00,  1.00,  1.00,  1.00,  0.49804, 11, 13, 10, 0,  0.48235,  0.27059,  0.24706,  0.00
7, 5589, -4.01168,  130.90227,  8.07096E-15, -0.77165,  0.1811,  0.6063,  1.00, -0.24409,  0.06299,  0.9685, -1.00,  0.88267,  0.2214,  1.00,  1.00,  1.00,  1.00,  1.00,  0.49804, 11, 13, 10, 0,  0.43922,  0.31765,  0.24314,  0.00
8, 5588, -1.66725,  129.86409,  0.64614,  0.10236, -0.01575,  0.99213,  1.00, -0.24409,  0.03937,  0.9685,  1.00,  0.8758,  0.19203,  1.00,  1.00,  1.00,  1.00,  1.00,  0.49804, 10, 8, 0, 0,  0.52157,  0.47843,  0.00,  0.00
9, 5588, -1.66725,  129.86409,  0.64614,  0.10236, -0.01575,  0.99213,  1.00, -0.24409,  0.03937,  0.9685,  1.00,  0.8758,  0.19203,  1.00,  1.00,  1.00,  1.00,  1.00,  0.49804, 10, 8, 0, 0,  0.52157,  0.47843,  0.00,  0.00
