VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w
0, 0,  1.41531E-15, -20.7239,  1.60102, -0.03937, -0.59055,  0.80315,  1.00, -0.03937, -0.59055,  0.80315,  1.00,  0.84322,  0.24644,  0.92463,  0.93209,  0.99608,  1.00,  0.99608,  0.49412, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
1, 1, -0.80089, -18.74113,  1.38642, -0.50394,  0.00,  0.86614,  1.00, -0.50394,  0.00,  0.86614,  1.00,  0.82081,  0.25645,  0.92353,  0.93259,  0.99608,  1.00,  0.99608,  0.49412, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
2, 2,  1.41531E-15, -18.74113,  1.60102,  0.00,  0.00,  1.00,  1.00,  0.00,  0.00,  1.00,  1.00,  0.82165,  0.24644,  0.92357,  0.93209,  0.99608,  1.00,  0.99608,  0.49412, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
3, 3, -0.80089, -20.7239,  1.38642, -0.43307, -0.59055,  0.67717,  1.00, -0.43307, -0.59055,  0.67717,  1.00,  0.84413,  0.25645,  0.92467,  0.93259,  0.99608,  1.00,  0.99608,  0.49412, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
4, 4, -0.80089, -18.74113,  1.38642, -0.49606,  0.00,  0.86614,  1.00, -0.50394,  0.00,  0.86614,  1.00,  0.82081,  0.25645,  0.92353,  0.93259,  0.99608,  1.00,  0.99608,  0.49412, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
5, 0,  1.41531E-15, -20.7239,  1.60102, -0.03937, -0.59055,  0.80315,  1.00, -0.03937, -0.59055,  0.80315,  1.00,  0.84322,  0.24644,  0.92463,  0.93209,  0.99608,  1.00,  0.99608,  0.49412, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
6, 3, -0.80089, -20.7239,  1.38642, -0.43307, -0.59055,  0.67717,  1.00, -0.43307, -0.59055,  0.67717,  1.00,  0.84413,  0.25645,  0.92467,  0.93259,  0.99608,  1.00,  0.99608,  0.49412, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
7, 5, -1.38718, -18.74113,  0.80013, -0.86614,  0.00,  0.50394,  1.00, -0.86614,  0.00,  0.50394,  1.00,  0.82021,  0.26647,  0.9235,  0.93308,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
8, 4, -0.80089, -18.74113,  1.38642, -0.49606,  0.00,  0.86614,  1.00, -0.50394,  0.00,  0.86614,  1.00,  0.82081,  0.25645,  0.92353,  0.93259,  0.99608,  1.00,  0.99608,  0.49412, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
9, 6, -1.38718, -20.7239,  0.80013, -0.71654, -0.59055,  0.37008,  1.00, -0.71654, -0.59055,  0.37008,  1.00,  0.84478,  0.26647,  0.92471,  0.93308,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
10, 5, -1.38718, -18.74113,  0.80013, -0.86614,  0.00,  0.50394,  1.00, -0.86614,  0.00,  0.50394,  1.00,  0.82021,  0.26647,  0.9235,  0.93308,  1.00,  1.00,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
